name,ats_type,careers_url,industry,sponsorship_history,english_friendly,remote_score
Lidl Italia,official_careers,https://lavoro.lidl.it/annunci-di-lavoro,Retail/Supermarket,20,60,65
Lightspeed,official_careers,https://www.lightspeedhq.com/careers/openings/,SaaS,80,85,65
limehome,official_careers,https://career.limehome.de/careerslimehome-tz49z,Hospitality,70,80,45
Luxottica,official_careers,https://careers.essilorluxottica.com/search/?createNewAlert=false&q=&optionsFacetsDD_country=&optionsFacetsDD_customfield1=&optionsFacetsDD_customfield2=&optionsFacetsDD_customfield3=&optionsFacetsDD_customfield4=,Fashion/Retail,40,75,55
McDonald's Italia,official_careers,https://www.mcdonalds.it/lavora-con-noi/posizioni-aperte,Hospitality/Fast Food,20,60,60
MetaQuotes,official_careers,https://www.metaquotes.net/en/company/vacancies,Fintech,75,85,60
Michael Page Germany,official_careers,https://www.michaelpage.de/jobs/compliance-analyst,Recruitment,70,80,35
Michael Page Netherlands,official_careers,https://www.michaelpage.nl/jobs/analyst,Recruitment,70,85,35
Michael Page UK,official_careers,https://www.michaelpage.co.uk/jobs/analyst,Recruitment,70,85,35
Miro,official_careers,https://miro.com/careers/open-positions/,SaaS,85,95,80
Mollie,official_careers,https://jobs.mollie.com/locations/amsterdam,Fintech,80,90,65
Morgan McKinley,official_careers,https://www.morganmckinley.com/ie/jobseekers,Recruitment,70,80,35
MSD Netherlands,official_careers,https://jobs.msd.com/gb/en/search-results?keywords=analyst,Pharma,80,90,45
NavVis,official_careers,https://www.navvis.com/company/careers#positions,3D Mapping,75,85,45
Nexthink (Germany),official_careers,https://nexthink.com/company/careers/jobs,Digital Workplace,75,85,60
Nigel Frank,official_careers,https://www.nigelfrank.com/microsoft-jobs,Recruitment,70,85,35
Notion,official_careers,https://www.notion.com/careers,Productivity,80,95,85
N26,official_careers,https://n26.com/en-eu/careers,Fintech,85,90,60
Ocado Technology,official_careers,https://careers.ocadogroup.com/jobs,Retail Tech,80,85,60
Optiver,official_careers,https://www.optiver.com/join-us/jobs/,Fintech/Trading,80,85,55
Organon,official_careers,https://jobs.organon.com/us/en/search-results,Pharma,75,80,50
Pam Panorama,official_careers,https://lavoraconnoi.gruppopam.it/negozi/regioni/lazio,Retail/Supermarket,20,60,60
Pam Panorama,official_careers,https://lavoraconnoi.gruppopam.it/sede,Retail/Supermarket,20,60,60
Personio,official_careers,https://www.personio.com/about-personio/careers/#see-our-open-roles,HR Tech,80,90,65
Picnic,official_careers,https://jobs.picnic.app/en/jobs,Food Tech,75,80,50
Pipedrive,official_careers,https://www.pipedrive.com/en/jobs/open-positions,SaaS,80,90,70
Pitch,official_careers,https://pitch.com/jobs#positions,SaaS,80,90,85
Planhat,official_careers,https://www.planhat.com/careers#open-roles,SaaS,70,90,70
Poste Italiane,official_careers,https://carriere.posteitaliane.it/en/sites/CX_3001/jobs?mode=location,Logistics/Services,25,60,70
Prada Group,official_careers,https://jobs.pradagroup.com/search/?createNewAlert=false,Fashion/Luxury,35,80,50
Quinyx,official_careers,https://careers.quinyx.com/jobs,Workforce Tech,70,85,60
reisetopia,official_careers,https://reisetopia.de/jobs/,Travel,70,85,75
